count,country_1,lin,sum,percentage,month
79,Netherlands,B.1.22,487,16.2217659137577,2020-01
6,Netherlands,A.2,487,1.2320328542094456,2020-01
2,Netherlands,B,487,0.41067761806981523,2020-01
9,Netherlands,B.1,487,1.8480492813141685,2020-01
15,Netherlands,B.1.1,487,3.0800821355236137,2020-01
1,Netherlands,B.1.1.185,487,0.20533880903490762,2020-01
1,Netherlands,B.1.1.198,487,0.20533880903490762,2020-01
2,Netherlands,B.1.220,487,0.41067761806981523,2020-01
13,Netherlands,B.1.1.209,487,2.6694045174537986,2020-01
1,Netherlands,B.1.1.257,487,0.20533880903490762,2020-01
1,Netherlands,B.1.1.269,487,0.20533880903490762,2020-01
1,Netherlands,B.1.1.282,487,0.20533880903490762,2020-01
1,Netherlands,B.1.1.329,487,0.20533880903490762,2020-01
1,Netherlands,B.1.1.419,487,0.20533880903490762,2020-01
3,Netherlands,B.1.1.142,487,0.6160164271047228,2020-01
1,Netherlands,B.1.1.70,487,0.20533880903490762,2020-01
30,Netherlands,B.1.1.7,487,6.160164271047227,2020-01
8,Netherlands,B.1.190,487,1.642710472279261,2020-01
4,Netherlands,B.1.177.81,487,0.8213552361396305,2020-01
10,Netherlands,B.1.177.73,487,2.0533880903490758,2020-01
1,Netherlands,B.1.177.54,487,0.20533880903490762,2020-01
4,Netherlands,B.1.177.77,487,0.8213552361396305,2020-01
1,Netherlands,B.1.177.44,487,0.20533880903490762,2020-01
4,Netherlands,B.1.177.40,487,0.8213552361396305,2020-01
20,Netherlands,B.1.177,487,4.1067761806981515,2020-01
33,Netherlands,B.1.160,487,6.7761806981519515,2020-01
1,Netherlands,B.1.1.71,487,0.20533880903490762,2020-01
2,Netherlands,B.1.177.50,487,0.41067761806981523,2020-01
1,New Zealand,B.1.356,234,0.4273504273504274,2020-01
2,New Zealand,B.1.516,234,0.8547008547008548,2020-01
3,New Zealand,B.1.36,234,1.282051282051282,2020-01
3,New Zealand,B.1.36.36,234,1.282051282051282,2020-01
28,New Zealand,B.1.369,234,11.965811965811966,2020-01
1,New Zealand,B.1.438,234,0.4273504273504274,2020-01
2,New Zealand,B.1.509,234,0.8547008547008548,2020-01
34,New Zealand,B.1.545,234,14.529914529914532,2020-01
5,New Zealand,B.40,234,2.1367521367521367,2020-01
8,New Zealand,B.1.91,234,3.418803418803419,2020-01
2,New Zealand,B.28,234,0.8547008547008548,2020-01
3,New Zealand,B.29,234,1.282051282051282,2020-01
4,New Zealand,B.3,234,1.7094017094017095,2020-01
